molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4578046,Cc1cc(/C=C2\C(=O)NC(=O)N(c3ccc(F)cc3)C2=O)c(C)n1-c1ccccc1C(=O)O,58500.0
CHEMBL4559192,Cc1cc(/C=C2\SC(=O)N(C)C2=O)c(C)n1-c1ccccc1C(=O)O,92200.0
CHEMBL4585995,Cc1cc(/C=C(\C#N)C(=O)NCCc2c[nH]c3ccccc23)c(C)n1-c1ccccc1C(=O)O,135000.0
CHEMBL1481627,Cc1cc(/C=C(/C#N)c2nc3ccccc3[nH]2)c(C)n1-c1ccccc1C(=O)O,125000.0
CHEMBL4556115,Cc1cccc(C)c1-c1ccccc1C(=O)O,89100.0
CHEMBL4584489,Cc1cc(C(=O)N/N=C/c2ccccc2)c(C)n1-c1ccccc1C(=O)O,49200.0
CHEMBL4571749,CC(=O)OCOC(=O)c1ccccc1-n1c(C)ccc1C,101000.0
CHEMBL4529028,CC(=O)OCOC(=O)c1ccc(-n2c(C)ccc2C)cc1O,91400.0
CHEMBL4588003,Cc1ccc(C)n1-c1ccccc1CC(=O)O,195000.0
CHEMBL4515996,Cc1ccc(C)n1-c1ccccc1/C=C/C(=O)O,156000.0
CHEMBL4514651,Cc1ccc(C)n1-c1cc(C(=O)NN)ccc1C(=O)O,420.0
CHEMBL4536775,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccccc2)ccc1C(=O)O,7690.0
CHEMBL4515506,Cc1ccc(C)n1-c1cc(C(=O)NCCc2c[nH]cn2)ccc1C(=O)O,15400.0
CHEMBL4520735,Cc1ccc(C)n1-c1cc(C(=O)NCCc2ccc(O)c(O)c2)ccc1C(=O)O,33400.0
CHEMBL4516053,Cc1ccc(C)n1-c1cc(C(=O)NCCN2CCN(C)CC2)ccc1C(=O)O,104000.0
CHEMBL4560643,Cc1ccc(C)n1-c1cc(C(=O)N2CCOCC2)ccc1C(=O)O,8580.0
CHEMBL4538417,Cc1ccc(C)n1-c1cc(C(=O)NCCc2cccc(C(=O)O)c2)ccc1C(=O)O,7270.0
CHEMBL4571842,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2c[nH]cn2)ccc1C(=O)O,1750.0
CHEMBL4534756,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc(O)c(O)c2O)ccc1C(=O)O,531.0
CHEMBL4534386,Cc1ncc(CO)c(/C=N/NC(=O)c2ccc(C(=O)O)c(-n3c(C)ccc3C)c2)c1O,1000.0
CHEMBL4520603,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ncc[nH]2)ccc1C(=O)O,2720.0
CHEMBL4538921,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cccc(B(O)O)c2)ccc1C(=O)O,2950.0
CHEMBL4566915,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc(O)cc2)ccc1C(=O)O,6850.0
CHEMBL4560633,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc(S(=O)(=O)O)o2)ccc1C(=O)O,534.0
CHEMBL4545975,COc1ccc(/C=N/NC(=O)c2ccc(C(=O)O)c(-n3c(C)ccc3C)c2)c(OC)c1,37900.0
CHEMBL4580874,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cccnc2)ccc1C(=O)O,5970.0
CHEMBL4560663,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc(N(C)C)cc2)ccc1C(=O)O,31400.0
CHEMBL4586997,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2c(Cl)ncnc2Cl)ccc1C(=O)O,4880.0
CHEMBL4567078,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc3c(c2)OCCN3C)ccc1C(=O)O,38000.0
CHEMBL4586334,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc3ccccc3n2)ccc1C(=O)O,17500.0
CHEMBL4551980,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cc(F)ccc2C(F)(F)F)ccc1C(=O)O,3990.0
CHEMBL4588527,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc(-c3nnn[nH]3)cc2)ccc1C(=O)O,1660.0
CHEMBL4540324,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cncnc2)ccc1C(=O)O,5560.0
CHEMBL4549129,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2c[nH]c3ccc(C#N)cc23)ccc1C(=O)O,17100.0
CHEMBL4553728,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2c[nH]c3ccc(F)cc23)ccc1C(=O)O,23300.0
CHEMBL4513566,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2c[nH]c3cc(F)ccc23)ccc1C(=O)O,34400.0
CHEMBL4564509,Cc1cc(C)c2c(=O)c(/C=N/NC(=O)c3ccc(C(=O)O)c(-n4c(C)ccc4C)c3)coc2c1,5550.0
CHEMBL4531825,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cc(C(F)(F)F)cc(C(F)(F)F)c2)ccc1C(=O)O,3840.0
CHEMBL4584499,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc(F)c(F)c2)ccc1C(=O)O,4820.0
CHEMBL4534256,COc1ncc(/C=N/NC(=O)c2ccc(C(=O)O)c(-n3c(C)ccc3C)c2)c(OC)n1,7670.0
CHEMBL4593257,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc(-c3cncnc3)cc2)ccc1C(=O)O,26500.0
CHEMBL4565626,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccccc2N2CCOCC2)ccc1C(=O)O,7050.0
CHEMBL4544077,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc3nccnc3c2)ccc1C(=O)O,7110.0
CHEMBL4550118,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc3cccnc3n2)ccc1C(=O)O,2970.0
CHEMBL4561825,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cccc3ncccc23)ccc1C(=O)O,15100.0
CHEMBL4533461,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cc(F)c(F)c(F)c2)ccc1C(=O)O,9300.0
CHEMBL4560920,Cc1ccc(C)n1-c1cc(C(=O)N/N=C\c2ccc(O)c(F)c2)ccc1C(=O)O,6520.0
CHEMBL4524924,Cc1ccc(C)n1-c1cc(C(=O)N/N=C\c2cc(F)c(C(=O)O)c(F)c2)ccc1C(=O)O,480.0
CHEMBL4592328,Cc1ccc(C)n1-c1cc(C(=O)N/N=C\c2cccc(C(=O)O)c2)ccc1C(=O)O,675.0
CHEMBL4575537,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cccc(C(=O)O)c2)ccc1C(=O)O,393.0
CHEMBL4521116,Cc1ccc(C)n1-c1cc(C(=O)N/N=C\c2ccc(C(=O)O)s2)ccc1C(=O)O,492.0
CHEMBL4541510,Cc1ccc(C)n1-c1cc(C(=O)N/N=C\c2ccc(S(=O)(=O)O)cc2)ccc1C(=O)O,291.0
CHEMBL4580673,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2ccc(C(=O)O)o2)ccc1C(=O)O,708.0
CHEMBL4562662,Cc1ccc(C)n1-c1cc(C(=O)N/N=C/c2cc(C(=O)O)ccc2F)ccc1C(=O)O,1250.0
CHEMBL4569619,Cc1ccc(C)n1-c1ccccc1S(=O)(=O)O,53300.0
CHEMBL4537245,Cc1ccc(C)n1-c1cc2ccccc2cc1C(=O)O,31000.0
CHEMBL4572415,Cc1cc(Br)c(-n2c(C)ccc2C)c(C(=O)O)c1,51500.0
CHEMBL4554011,COc1cc(-n2c(C)ccc2C)c(Cl)cc1C(=O)O,493000.0
CHEMBL4580970,Cc1ccc(C)n1-c1ncccc1C(=O)O,1000.0
